شباهت_محتوای_یکتا,فایل الف,فایل ب,عنوان الف,عنوان ب,یکتای الف,یکتای ب,لینک_ورودی_الف,لینک_ورودی_ب
0.735,knowledge-center/kc-level-measurement-6-methods.html,knowledge-center/kc-nitrogen-air-natural-gas.html,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,"راهنمای کامل سیستم گازرسانی صنعتی (Nitrogen, Air, Natural Gas)",1153,1094,2,2
0.735,knowledge-center/kc-level-measurement-6-methods.html,knowledge-center/kc-ngl-recovery.html,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,راهنمای کامل تجهیزات خطوط انتقال گاز (NGL Recovery),1153,1094,2,2
0.735,knowledge-center/kc-cooling-water.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل سیستم آب خنک‌کننده صنعتی (Cooling Water),راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1096,1177,2,7
0.735,knowledge-center/kc-control-room-equipment-standards.html,knowledge-center/kc-earthing.html,راهنمای کامل اتاق کنترل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم اتصال به زمین (Earthing) پست‌های برق,1117,1097,3,2
0.735,knowledge-center/kc-chemical-injection.html,knowledge-center/kc-commissioning.html,راهنمای کامل سیستم تزریق مواد شیمیایی (Chemical Injection),راهنمای کامل تجهیزات تست و راه‌اندازی پروژه‌های صنعتی,1143,1081,4,3
0.735,knowledge-center/kc-fire-alarm-detection-system.html,knowledge-center/kc-gas-dehydration-teg.html,راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,راهنمای کامل تجهیزات آب‌گیری گاز (Gas Dehydration - TEG),1131,1086,1,3
0.735,knowledge-center/kc-fm200-co2-foam-water.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل سیستم اطفاء حریق صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1097,1177,4,7
0.734,knowledge-center/kc-commissioning.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل تجهیزات تست و راه‌اندازی پروژه‌های صنعتی,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1081,1177,3,7
0.734,knowledge-center/kc-esd-fire-gas.html,knowledge-center/kc-lightning-protection-arrester.html,راهنمای کامل سیستم ESD و Fire &amp; Gas (F&amp;G),راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,1093,1137,3,4
0.734,knowledge-center/kc-cooling-water.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم آب خنک‌کننده صنعتی (Cooling Water),راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1096,1153,2,2
0.734,knowledge-center/kc-incoterms-2024.html,knowledge-center/kc-industrial-equipment-export.html,راهنمای کامل اینکوترمز (Incoterms) 2024 در تامین تجهیزات صنعتی,راهنمای کامل صادرات تجهیزات صنعتی به بازارهای بین‌المللی,1086,1114,5,2
0.734,knowledge-center/kc-fire-alarm-detection-system.html,knowledge-center/kc-ndt.html,راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,راهنمای کامل تست‌های غیرمخرب (NDT) در پایپینگ؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1131,1088,1,7
0.734,knowledge-center/kc-industrial-laboratory-equipment.html,knowledge-center/kc-ngl-lpg-lng.html,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,"راهنمای کامل تجهیزات خطوط گاز طبیعی (NGL, LPG, LNG)",1114,1131,2,4
0.733,knowledge-center/kc-fm200-co2-foam-water.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم اطفاء حریق صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1097,1153,4,2
0.733,knowledge-center/kc-earthing.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم اتصال به زمین (Earthing) پست‌های برق,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1097,1153,2,2
0.733,knowledge-center/kc-fcc-unit.html,knowledge-center/kc-fire-alarm-detection-system.html,راهنمای کامل تجهیزات کراکینگ کاتالیستی (FCC Unit),راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,1086,1131,2,1
0.733,knowledge-center/kc-hse.html,knowledge-center/kc-international-marketing-oil-gas.html,راهنمای کامل سیستم مدیریت ایمنی (HSE) در صنایع فرایندی,راهنمای کامل بازاریابی بین‌المللی در صنایع نفت و گاز,1074,1127,4,5
0.733,knowledge-center/kc-earthing.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل سیستم اتصال به زمین (Earthing) پست‌های برق,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1097,1154,2,4
0.733,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-dcs.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1147,1104,6,4
0.733,knowledge-center/kc-dcs.html,knowledge-center/kc-industrial-laboratory-equipment.html,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1104,1114,4,2
0.733,knowledge-center/kc-ngl-lpg-lng.html,knowledge-center/kc-oil-refinery-equipment.html,"راهنمای کامل تجهیزات خطوط گاز طبیعی (NGL, LPG, LNG)",راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1131,1177,4,7
0.732,knowledge-center/kc-hse.html,knowledge-center/kc-oil-gas-export-terminal-equipment.html,راهنمای کامل سیستم مدیریت ایمنی (HSE) در صنایع فرایندی,راهنمای کامل تجهیزات پایانه‌های صادراتی نفت و گاز,1074,1128,4,4
0.732,knowledge-center/kc-led.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل سیستم روشنایی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1136,1251,2,6
0.732,knowledge-center/kc-level-measurement-6-methods.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1153,1154,2,4
0.732,knowledge-center/kc-industrial-laboratory-equipment.html,knowledge-center/kc-offshore.html,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات صنایع نفت و گاز فراساحل (Offshore),1114,1134,2,2
0.732,knowledge-center/kc-commissioning.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل تجهیزات تست و راه‌اندازی پروژه‌های صنعتی,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1081,1153,3,2
0.732,knowledge-center/cement-industry-supply-guide.html,knowledge-center/electrical-brands-comparison.html,راهنمای تامین تجهیزات صنایع سیمان | پیشرو تجهیز فرتاک,مقایسه برندهای تجهیزات برق صنعتی | پیشرو تجهیز فرتاک,631,647,8,2
0.731,knowledge-center/kc-control-room-equipment-standards.html,knowledge-center/kc-dcs.html,راهنمای کامل اتاق کنترل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1117,1104,3,4
0.731,knowledge-center/kc-offshore.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل تجهیزات صنایع نفت و گاز فراساحل (Offshore),راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1134,1177,2,7
0.731,knowledge-center/kc-flare-burner-equipment.html,knowledge-center/kc-ngl-lpg-lng.html,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,"راهنمای کامل تجهیزات خطوط گاز طبیعی (NGL, LPG, LNG)",1143,1131,1,4
0.731,knowledge-center/kc-chemical-injection.html,knowledge-center/kc-ngl-lpg-lng.html,راهنمای کامل سیستم تزریق مواد شیمیایی (Chemical Injection),"راهنمای کامل تجهیزات خطوط گاز طبیعی (NGL, LPG, LNG)",1143,1131,4,4
0.73,knowledge-center/api-602-small-gate-valve.html,knowledge-center/industrial-cable-selection-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای انتخاب کابل صنعتی (Power Cable) | پیشرو تجهیز فرتاک,669,594,4,7
0.73,knowledge-center/api-602-small-gate-valve.html,knowledge-center/astm-piping-standards-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای استانداردهای ASTM در پایپینگ | پیشرو تجهیز فرتاک,669,594,4,3
0.73,knowledge-center/kc-bms.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل سیستم اتوماسیون ساختمان (BMS) صنعتی,راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1140,1251,2,6
0.73,knowledge-center/flange-bolting-guide.html,knowledge-center/incoterms-industrial-trade-guide.html,راهنمای پیچ و مهره در اتصالات فلنجی صنعتی | پیشرو تجهیز فرتاک,راهنمای Incoterms 2024 در تجارت بین‌المللی صنعتی,662,620,9,3
0.73,knowledge-center/kc-desalter.html,knowledge-center/kc-fire-alarm-detection-system.html,راهنمای کامل تجهیزات نمک‌زدایی نفت خام (Desalter),راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,1092,1131,2,1
0.73,knowledge-center/kc-dcs.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1104,1153,4,2
0.729,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-intrusion-detection-access-control.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم اعلام سرقت و کنترل دسترسی صنعتی,1147,1077,6,3
0.729,knowledge-center/kc-dcs.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1104,1154,4,4
0.729,knowledge-center/kc-flare-burner-equipment.html,knowledge-center/kc-offshore.html,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات صنایع نفت و گاز فراساحل (Offshore),1143,1134,1,2
0.729,knowledge-center/kc-chemical-injection.html,knowledge-center/kc-offshore.html,راهنمای کامل سیستم تزریق مواد شیمیایی (Chemical Injection),راهنمای کامل تجهیزات صنایع نفت و گاز فراساحل (Offshore),1143,1134,4,2
0.729,knowledge-center/kc-industrial-laboratory-equipment.html,knowledge-center/kc-lightning-protection-arrester.html,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,1114,1137,2,4
0.729,knowledge-center/kc-fire-alarm-detection-system.html,knowledge-center/kc-ngl-recovery.html,راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,راهنمای کامل تجهیزات خطوط انتقال گاز (NGL Recovery),1131,1094,1,2
0.729,knowledge-center/control-valve-complete-guide.html,knowledge-center/international-supply-contract-guide.html,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای قراردادهای تامین بین‌المللی صنعتی | پیشرو تجهیز فرتاک,647,620,12,3
0.728,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-esd-fire-gas.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم ESD و Fire &amp; Gas (F&amp;G),1147,1093,6,3
0.728,knowledge-center/kc-lightning-protection-arrester.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1137,1177,4,7
0.728,knowledge-center/api-602-small-gate-valve.html,knowledge-center/instrument-calibration-standards.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای استانداردهای کالیبراسیون ابزار دقیق | پیشرو تجهیز فرتاک,669,596,4,3
0.728,knowledge-center/api-602-small-gate-valve.html,knowledge-center/hydrostatic-level-transmitter.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای ترانسمیتر سطح هیدرواستاتیک صنعتی | پیشرو تجهیز فرتاک,669,596,4,4
0.728,knowledge-center/control-valve-complete-guide.html,knowledge-center/high-pressure-equipment-guide.html,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای تجهیزات فشار قوی و فوق‌العاده صنعتی | پیشرو تجهیز فرتاک,647,637,12,3
0.728,knowledge-center/kc-energy-management-oil-gas.html,knowledge-center/kc-incoterms-2024.html,راهنمای کامل مدیریت انرژی در صنایع نفت و گاز؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل اینکوترمز (Incoterms) 2024 در تامین تجهیزات صنعتی,1124,1086,4,5
0.728,knowledge-center/control-valve-complete-guide.html,knowledge-center/industrial-customs-clearance-guide.html,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای ترخیص گمرکی کالاهای صنعتی | پیشرو تجهیز فرتاک,647,621,12,4
0.727,knowledge-center/api-602-small-gate-valve.html,knowledge-center/diaphragm-seal-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای سیل جداکننده (Diaphragm Seal) در ابزار دقیق,669,597,4,3
0.726,knowledge-center/kc-incoterms-2024.html,knowledge-center/kc-international-marketing-oil-gas.html,راهنمای کامل اینکوترمز (Incoterms) 2024 در تامین تجهیزات صنعتی,راهنمای کامل بازاریابی بین‌المللی در صنایع نفت و گاز,1086,1127,5,5
0.726,knowledge-center/kc-intrusion-detection-access-control.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم اعلام سرقت و کنترل دسترسی صنعتی,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1077,1153,3,2
0.726,knowledge-center/kc-incoterms-2024.html,knowledge-center/kc-oil-gas-export-terminal-equipment.html,راهنمای کامل اینکوترمز (Incoterms) 2024 در تامین تجهیزات صنعتی,راهنمای کامل تجهیزات پایانه‌های صادراتی نفت و گاز,1086,1128,5,4
0.725,knowledge-center/kc-intrusion-detection-access-control.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل سیستم اعلام سرقت و کنترل دسترسی صنعتی,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1077,1154,3,4
0.725,knowledge-center/kc-flare-burner-equipment.html,knowledge-center/kc-ndt.html,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تست‌های غیرمخرب (NDT) در پایپینگ؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1143,1088,1,7
0.725,knowledge-center/kc-cctv.html,knowledge-center/kc-flare-burner-equipment.html,راهنمای کامل سیستم دوربین مداربسته صنعتی (CCTV),راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1088,1143,3,1
0.725,knowledge-center/contactor-bimetal-guide.html,knowledge-center/control-valve-complete-guide.html,راهنمای کنتاکتور و بی متال در برق صنعتی | پیشرو تجهیز فرتاک,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,647,647,3,12
0.725,knowledge-center/corrosion-resistant-equipment-guide.html,knowledge-center/flange-bolting-guide.html,راهنمای تجهیزات مقاوم به خوردگی صنعتی | پیشرو تجهیز فرتاک,راهنمای پیچ و مهره در اتصالات فلنجی صنعتی | پیشرو تجهیز فرتاک,625,662,1,9
0.725,knowledge-center/api-602-small-gate-valve.html,knowledge-center/hart-calibration-training.html,استاندارد API 602 | پیشرو تجهیز فرتاک,آموزش کالیبراسیون HART در ابزار دقیق صنعتی | پیشرو تجهیز فرتاک,669,599,4,6
0.725,knowledge-center/api-602-small-gate-valve.html,knowledge-center/gas-analyzer-industry-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای آنالایزر گاز صنعتی | پیشرو تجهیز فرتاک,669,599,4,6
0.725,knowledge-center/kc-ndt.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل تست‌های غیرمخرب (NDT) در پایپینگ؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1088,1177,7,7
0.725,knowledge-center/kc-cctv.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل سیستم دوربین مداربسته صنعتی (CCTV),راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1088,1177,3,7
0.725,knowledge-center/kc-esd-fire-gas.html,knowledge-center/kc-level-measurement-6-methods.html,راهنمای کامل سیستم ESD و Fire &amp; Gas (F&amp;G),راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,1093,1153,3,2
0.725,knowledge-center/kc-flowmeters-10-methods.html,knowledge-center/kc-instrumentation-control-cables.html,راهنمای کامل فلومترهای صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل کابل‌های ابزار دقیق و کنترل صنعتی,1268,1145,7,5
0.725,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-industrial-laboratory-equipment.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1147,1114,6,2
0.725,knowledge-center/kc-control-room-equipment-standards.html,knowledge-center/kc-lightning-protection-arrester.html,راهنمای کامل اتاق کنترل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,1117,1137,3,4
0.724,knowledge-center/kc-esd-fire-gas.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل سیستم ESD و Fire &amp; Gas (F&amp;G),راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1093,1154,3,4
0.724,knowledge-center/kc-gc-ph-o2-h2s.html,knowledge-center/kc-instrumentation-communication-protocols.html,راهنمای کامل آنالایزرهای فرآیندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل پروتکل‌های ارتباطی ابزار دقیق؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1157,1207,3,3
0.724,knowledge-center/kc-esd-fire-gas.html,knowledge-center/kc-flare-burner-equipment.html,راهنمای کامل سیستم ESD و Fire &amp; Gas (F&amp;G),راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1093,1143,3,1
0.723,knowledge-center/kc-lightning-protection-arrester.html,knowledge-center/kc-ngl-lpg-lng.html,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,"راهنمای کامل تجهیزات خطوط گاز طبیعی (NGL, LPG, LNG)",1137,1131,4,4
0.722,knowledge-center/kc-flowmeters-10-methods.html,knowledge-center/kc-gauge-absolute-differential.html,راهنمای کامل فلومترهای صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل ترانسمیتر فشار؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1268,1141,7,2
0.722,knowledge-center/control-valve-complete-guide.html,knowledge-center/epc-supply-chain-management-guide.html,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای مدیریت زنجیره تامین در پروژه‌های EPC | پیشرو تجهیز فرتاک,647,622,12,2
0.722,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-flare-burner-equipment.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1147,1143,6,1
0.722,knowledge-center/kc-cement-industry-equipment.html,knowledge-center/kc-chemical-injection.html,راهنمای کامل تجهیزات صنایع سیمان؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل سیستم تزریق مواد شیمیایی (Chemical Injection),1147,1143,6,4
0.722,knowledge-center/astm-a105-vs-a234.html,knowledge-center/control-valve-complete-guide.html,مقایسه ASTM A105 و ASTM A234 در پایپینگ | پیشرو تجهیز فرتاک,راهنمای کامل شیر کنترل (Control Valve) صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,634,647,4,12
0.722,knowledge-center/kc-lightning-protection-arrester.html,knowledge-center/kc-offshore.html,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,راهنمای کامل تجهیزات صنایع نفت و گاز فراساحل (Offshore),1137,1134,4,2
0.722,knowledge-center/kc-earthing.html,knowledge-center/kc-flare-burner-equipment.html,راهنمای کامل سیستم اتصال به زمین (Earthing) پست‌های برق,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1097,1143,2,1
0.722,knowledge-center/kc-industrial-equipment-export.html,knowledge-center/kc-international-supply-contracts.html,راهنمای کامل صادرات تجهیزات صنعتی به بازارهای بین‌المللی,راهنمای کامل قراردادهای تامین بین‌المللی تجهیزات صنعتی,1114,1107,2,10
0.722,knowledge-center/kc-customs-clearance.html,knowledge-center/kc-industrial-equipment-export.html,راهنمای کامل ترخیص گمرکی کالاهای صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل صادرات تجهیزات صنعتی به بازارهای بین‌المللی,1107,1114,3,2
0.722,knowledge-center/kc-industrial-power-cable-sizing.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل کابل‌های قدرت صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1149,1251,4,6
0.722,knowledge-center/kc-cable-tray-cable-duct.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل کانال‌های کابل و سینی کابل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1149,1251,2,6
0.721,knowledge-center/kc-industrial-laboratory-equipment.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل تجهیزات آزمایشگاهی صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1114,1154,2,4
0.721,knowledge-center/kc-ct-pt.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل ترانسفورماتورهای جریان (CT) و ولتاژ (PT),راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1139,1251,2,6
0.72,knowledge-center/kc-air-cooled.html,knowledge-center/kc-mv-switchgear.html,راهنمای کامل مبدل‌های حرارتی هوایی (Air Cooled),راهنمای کامل تابلوهای برق فشار متوسط (MV Switchgear),1140,1251,4,6
0.72,knowledge-center/kc-earthing.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل سیستم اتصال به زمین (Earthing) پست‌های برق,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1097,1177,2,7
0.72,knowledge-center/api-602-small-gate-valve.html,knowledge-center/flange-bolting-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای پیچ و مهره در اتصالات فلنجی صنعتی | پیشرو تجهیز فرتاک,669,662,4,9
0.72,knowledge-center/kc-flowmeters-10-methods.html,knowledge-center/kc-load-cell.html,راهنمای کامل فلومترهای صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل لودسل (Load Cell) و سیستم توزین صنعتی,1268,1136,7,2
0.72,knowledge-center/kc-level-measurement-6-methods.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل اندازه‌گیری سطح در صنایع نفت و گاز,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1153,1177,2,7
0.719,knowledge-center/kc-fire-alarm-detection-system.html,knowledge-center/kc-lightning-protection-arrester.html,راهنمای کامل سیستم آتش‌نشان و اعلام حریق صنعتی,راهنمای کامل برقگیر و سیستم حفاظت در برابر صاعقه صنعتی,1131,1137,1,4
0.718,knowledge-center/kc-flare-burner-equipment.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1143,1154,1,4
0.718,knowledge-center/kc-chemical-injection.html,knowledge-center/kc-petrochemical-complex-equipment.html,راهنمای کامل سیستم تزریق مواد شیمیایی (Chemical Injection),راهنمای کامل تجهیزات مجتمع پتروشیمی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1143,1154,4,4
0.718,knowledge-center/kc-dcs.html,knowledge-center/kc-flare-burner-equipment.html,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات فلر و مشعل صنعتی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1104,1143,4,1
0.717,knowledge-center/api-602-small-gate-valve.html,knowledge-center/hydrostatic-test-pipe-guide.html,استاندارد API 602 | پیشرو تجهیز فرتاک,راهنمای تست هیدرواستاتیک لوله | پیشرو تجهیز فرتاک,669,603,4,3
0.716,knowledge-center/kc-dcs.html,knowledge-center/kc-oil-refinery-equipment.html,راهنمای کامل سیستم DCS در صنایع فرایندی؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل تجهیزات پالایشگاه نفت؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1104,1177,4,7
0.716,knowledge-center/kc-energy-management-oil-gas.html,knowledge-center/kc-international-supply-contracts.html,راهنمای کامل مدیریت انرژی در صنایع نفت و گاز؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,راهنمای کامل قراردادهای تامین بین‌المللی تجهیزات صنعتی,1124,1107,4,10
